shell_mode,scenario,scenario_label,band,points,median_ocean_confidence_score,p10_ocean_confidence_score,p90_ocean_confidence_score,high_confidence_ocean_pct,moderate_or_high_ocean_pct,ambiguous_or_false_pct,not_interpretable_pct,median_attenuation_risk,median_false_layer_risk,median_surface_clutter_risk,median_material_ambiguity_risk,strongest_risk_x_km,strongest_risk_interpretation,main_takeaway
thick_30km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,1.24,100.0,100.0,0.0,48.0,-58.0,shallow/internal feature only,Low-confidence interpretation; useful mainly as an ambiguity stress case.
thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,241,80.0,79.11,80.6,100.0,100.0,0.0,0.0,32.67,0.0,0.0,32.0,27.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.88,0.0,23.66,32.0,-0.5,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,0.0,90.0,32.0,-60.0,likely surface-clutter echo,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,241,82.06,81.18,82.65,100.0,100.0,0.0,0.0,32.43,0.0,0.0,30.0,29.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thick_30km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,90.65,100.0,0.0,30.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,30.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,92.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,92.0,-60.0,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,92.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,241,4.69,4.69,4.69,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0,-60.0,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0,-60.0,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thick_30km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,241,80.41,0.0,96.46,32.78,32.78,67.22,0.0,14.57,91.07,0.0,71.0,-23.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,241,53.93,0.0,85.21,31.12,31.12,68.88,0.0,36.75,100.0,0.0,71.0,-36.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,241,0.0,0.0,74.48,0.0,31.12,68.88,0.0,100.0,100.0,0.0,71.0,-37.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,241,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,241,93.4,93.4,93.4,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,241,98.64,98.15,98.98,100.0,100.0,0.0,0.0,10.86,0.0,0.0,5.0,29.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,241,0.0,0.0,56.79,0.0,0.0,100.0,0.0,82.0,100.0,0.0,100.0,-39.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,45.04,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,100.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,241,0.0,0.0,54.99,0.0,0.0,100.0,0.0,82.0,100.0,0.0,100.0,-39.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,36.96,0.0,0.0,100.0,0.0,100.0,100.0,47.9,100.0,-45.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,90.0,100.0,-58.0,likely surface-clutter echo,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,241,94.55,91.78,99.06,21.99,21.99,78.01,0.0,0.0,32.23,0.0,48.0,-17.5,ambiguous ocean vs internal layer,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,241,73.81,68.22,80.09,1.24,1.24,98.76,0.0,0.0,100.0,0.0,48.0,-18.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,241,0.73,0.06,85.19,1.24,1.24,98.76,0.0,86.59,100.0,0.0,48.0,-20.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,241,100.0,99.34,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,-56.5,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,241,87.52,82.22,88.17,100.0,100.0,0.0,0.0,0.0,0.0,23.66,32.0,-0.5,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,241,88.23,15.0,90.34,78.42,78.42,21.58,0.0,14.1,0.0,69.41,32.0,-56.5,likely surface-clutter echo,Moderate ocean interpretation; needs cross-band or cross-instrument support.
thin_3km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,241,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,241,90.54,90.54,90.54,100.0,100.0,0.0,0.0,0.0,0.0,0.0,27.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,241,95.64,95.16,95.98,100.0,100.0,0.0,0.0,13.51,0.0,0.0,27.0,29.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,241,23.14,22.97,24.35,0.0,0.0,100.0,0.0,6.1,100.0,0.0,92.0,27.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,241,11.64,6.89,12.55,0.0,0.0,100.0,0.0,10.92,100.0,0.0,92.0,27.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
thin_3km_reason_mode,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,44.81,55.19,100.0,0.0,0.0,92.0,-39.5,likely false/internal boundary,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
thin_3km_reason_mode,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,241,98.15,98.15,98.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,55.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,241,86.9,86.9,86.9,100.0,100.0,0.0,0.0,0.0,0.0,0.0,55.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
thin_3km_reason_mode,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,241,75.68,75.1,76.37,93.36,100.0,0.0,0.0,44.56,0.0,0.0,55.0,29.0,moderate-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,briny_mushy_lens,Briny/mushy lens,HF_9MHz_full_depth,241,0.0,0.0,67.33,0.0,31.12,67.63,1.24,88.73,100.0,0.0,71.0,-37.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,68.88,31.12,100.0,100.0,0.0,71.0,-39.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,briny_mushy_lens,Briny/mushy lens,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,71.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
workbook_mid_shell,clean_ice_control,Clean ice,HF_9MHz_full_depth,241,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,241,93.4,92.31,93.4,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,clean_ice_control,Clean ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,5.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
workbook_mid_shell,complex_paper_calibrated,Complex dirty ice,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,0.0,100.0,-58.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,complex_paper_calibrated,Complex dirty ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,1.24,100.0,100.0,0.0,100.0,-58.0,shallow/internal feature only,Low-confidence interpretation; useful mainly as an ambiguity stress case.
workbook_mid_shell,complex_with_clutter,Complex + clutter,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,complex_with_clutter,Complex + clutter,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,100.0,47.9,100.0,-52.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,complex_with_clutter,Complex + clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,90.0,100.0,-58.0,likely surface-clutter echo,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,241,70.2,65.98,99.06,21.99,21.99,78.01,0.0,26.73,100.0,0.0,48.0,-16.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,73.81,1.24,1.24,98.76,0.0,82.0,100.0,0.0,48.0,-36.5,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,1.24,100.0,100.0,0.0,48.0,-58.0,shallow/internal feature only,Low-confidence interpretation; useful mainly as an ambiguity stress case.
workbook_mid_shell,rough_surface_clutter,Rough surface clutter,HF_9MHz_full_depth,241,99.34,99.34,99.34,100.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,rough_surface_clutter,Rough surface clutter,VHF_60MHz_full_depth_lowDR,241,84.64,81.6,86.32,100.0,100.0,0.0,0.0,0.0,0.0,23.66,32.0,10.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,rough_surface_clutter,Rough surface clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,98.76,1.24,100.0,0.0,90.0,32.0,-60.0,likely surface-clutter echo,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,salt_layers_reason,Salt layers,HF_9MHz_full_depth,241,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,-60.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,241,90.15,88.9,90.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,high-confidence ocean candidate,Strong ocean interpretation in this sensitivity run.
workbook_mid_shell,salt_layers_reason,Salt layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,30.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
workbook_mid_shell,stacked_dirty_layers,Stacked dirty layers,HF_9MHz_full_depth,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,80.31,100.0,0.0,92.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,78.84,21.16,100.0,100.0,0.0,92.0,-60.0,likely false/internal boundary,High false-boundary or clutter ambiguity; do not treat the brightest echo as automatically ocean.
workbook_mid_shell,stacked_dirty_layers,Stacked dirty layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,92.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
workbook_mid_shell,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,241,68.38,64.15,69.13,0.0,100.0,0.0,0.0,53.06,0.0,0.0,55.0,10.0,moderate-confidence ocean candidate,Moderate ocean interpretation; needs cross-band or cross-instrument support.
workbook_mid_shell,warm_impure_ice,Warm impure ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0,-60.0,too weak for deep-ocean call,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
workbook_mid_shell,warm_impure_ice,Warm impure ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,55.0,-60.0,outside this band's ocean-depth window,Band or attenuation limits dominate; this is not a reliable ocean-depth call.
