page,term,snippet
1,measurement,"on,a n dranging. Building on a rich heritage from Earth, the moon, and Mars, REASON will be the ﬁrst ice-penetrating radar to explore the outer so- lar system. Because these radars are untested for the icy worlds in the outer solar system, a novel approach to measurement quality assessment was developed to represent uncertainties in key properties of Europa that affect REASON performance and ensure robustness across a range of plausible parameters suggested for the icy moon. REASON will shed light on a never-before-seen dimen"
2,bandwidth,"ice shell modes described in Sect.4.2.6. The near-surface is deﬁned as the region close to the surface where subsurface structure cannot be directly resolved by the radar (i.e., the vertical resolution). In practice, the vertical resolution is governed by the bandwidth, windowing function, and dielectric properties of the material; however, here we adopt the required HF vertical resolution in ice as a conservative upper bound (Table2)."
2,interferometry,"dar altimetry to determine surface topography, radar reﬂectometry to study surface roughness and near-surface 3 structure and composition as well as radar sounding to probe both the shallow and full depth subsurface domains of the ice shell coupled with radar interferometry to discriminate nadir subsurface features from radar returns of cross-track surface features. Two additional measurement techniques, radarplasma characterization (to 1Habitability in this context refers to the conditions necessary to support life as we know i"
2,pulse,"s, radarplasma characterization (to 1Habitability in this context refers to the conditions necessary to support life as we know it (see Vance et al. 2023, this collection). 2Here we use the terms radar sounder and ice-penetrating radar to refer speciﬁcally to pulse radar systems on airborne or space-based platforms (Schlegel et al.2022). Radar sounder is the term typically used in planetary radioglaciology, whereas Radio Echo Sounder (RES) and ice-penetrating radar are terms commonly used in terrestrial radioglaciology."
2,sounding,"bility. REASON baseline science investigations of Europa require four types of measurement techniques: radar altimetry to determine surface topography, radar reﬂectometry to study surface roughness and near-surface 3 structure and composition as well as radar sounding to probe both the shallow and full depth subsurface domains of the ice shell coupled with radar interferometry to discriminate nadir subsurface features from radar returns of cross-track surface features. Two additional measurement techniques, radarplasma cha"
2,altimetry,"hese subsurface domains and their bounding interfaces at scales critical for understanding exchange processes that govern Europa’s potential for habitability. REASON baseline science investigations of Europa require four types of measurement techniques: radar altimetry to determine surface topography, radar reﬂectometry to study surface roughness and near-surface 3 structure and composition as well as radar sounding to probe both the shallow and full depth subsurface domains of the ice shell coupled with radar interferometr"
2,plasma,"r sounding to probe both the shallow and full depth subsurface domains of the ice shell coupled with radar interferometry to discriminate nadir subsurface features from radar returns of cross-track surface features. Two additional measurement techniques, radarplasma characterization (to 1Habitability in this context refers to the conditions necessary to support life as we know it (see Vance et al. 2023, this collection). 2Here we use the terms radar sounder and ice-penetrating radar to refer speciﬁcally to pulse radar sy"
2,measurement,"of the ice shell and character of the deep interior, have been driven by the analysis of data acquired during the V oyager 1 and 2 spacecraft encounters with Jupiter (1979) and the Galileo mission (1995–2003) (Alexander et al. 2009). These data include direct measurements in two dimensions of Europa’s surface (e.g., imaging and spectroscopy) and indirect measurements in a single dimension of Europa’s global subsur- face properties (e.g., radio science and magnetometry). In particular, analyses of these data have provided insi"
2,measurement,"uired during the V oyager 1 and 2 spacecraft encounters with Jupiter (1979) and the Galileo mission (1995–2003) (Alexander et al. 2009). These data include direct measurements in two dimensions of Europa’s surface (e.g., imaging and spectroscopy) and indirect measurements in a single dimension of Europa’s global subsur- face properties (e.g., radio science and magnetometry). In particular, analyses of these data have provided insights into the subsurface domains within and bounding Europa’s ice shell. Key among these insights"
2,measurement,"shell, inferred from the Galileo magnetometer data, (Carr et al. 1998; Khurana et al. 1998; Pappalardo et al. 1999;K i v e l s o ne ta l .2000)a n d a rocky mantle of unknown complexity, inferred from radio science data (Anderson et al. 1998). However, direct measurements of the near-surface (i.e., the upper few hundred me- ters) and subsurface of Europa’s ice shell, including its properties, structure, and bounding interfaces, are required to address the daunting framework of working hypotheses arising from interpretations o"
2,measurement,"24, this collection). REASON is an ice-penetrating radar 2 optimized to probe Europa from its exosphere to its subsurface ocean. If successful, the REASON investigations will revolu- tionize our understanding of Europa’s ice shell by providing the ﬁrst direct measurements of the structure and properties of these subsurface domains and their bounding interfaces at scales critical for understanding exchange processes that govern Europa’s potential for habitability. REASON baseline science investigations of Europa require four t"
2,measurement,"structure and properties of these subsurface domains and their bounding interfaces at scales critical for understanding exchange processes that govern Europa’s potential for habitability. REASON baseline science investigations of Europa require four types of measurement techniques: radar altimetry to determine surface topography, radar reﬂectometry to study surface roughness and near-surface 3 structure and composition as well as radar sounding to probe both the shallow and full depth subsurface domains of the ice shell coup"
2,measurement,"d composition as well as radar sounding to probe both the shallow and full depth subsurface domains of the ice shell coupled with radar interferometry to discriminate nadir subsurface features from radar returns of cross-track surface features. Two additional measurement techniques, radarplasma characterization (to 1Habitability in this context refers to the conditions necessary to support life as we know it (see Vance et al. 2023, this collection). 2Here we use the terms radar sounder and ice-penetrating radar to refer speci"
3,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page3of91 51 derive the total electron content (TEC) in the ionosphere) and radar ranging4 (to measure the differential range between the spacecraft and the surface through time at groundtrack crossover points) provide, respectively, a"
3,sounding,"rough time at groundtrack crossover points) provide, respectively, a critical framework for understanding the boundary conditions for surface/near-surface exchange and the energetics of tidal deformation across the ice shell’s full breadth and depth. 1.2 RadarSounding(andAssessment)ofIcefromtheInnertotheOuterSolar System Radar sounding refers to a technique where electromagnetic energy is directed and transmit- ted into the subsurface, producing reﬂections which are recorded as signals. This is distinct from side-looking i"
3,sounding,"critical framework for understanding the boundary conditions for surface/near-surface exchange and the energetics of tidal deformation across the ice shell’s full breadth and depth. 1.2 RadarSounding(andAssessment)ofIcefromtheInnertotheOuterSolar System Radar sounding refers to a technique where electromagnetic energy is directed and transmit- ted into the subsurface, producing reﬂections which are recorded as signals. This is distinct from side-looking imaging radars, where energy is directed and transmitted off-nadir and"
3,sounding,"g imaging radars, where energy is directed and transmitted off-nadir and backscattered energy is recorded as signal. Consequently, smooth topographic features that are highly reﬂective and specular are “bright” (i.e., high signal-to-noise ratio, SNR) in radar sounding data and “dark” (i.e., low SNR) in imaging radar data. Ice penetrating radars have the unique capability to penetrate deep into the subsurface of icy bodies due to the high transparency of ice at MHz frequencies (Warren 1984; Blankenship et al. 2009;K o f m a"
3,sounding,", porosity, thermal state, composition), basal conditions (e.g., frozen vs. thawed, ﬂoating vs grounded ice, topographic heterogeneity), and ice dynamics (e.g., variations in accumulation/melting and ﬂow/fracture) (Schroeder et al. 2020). Application of radar sounding as a ground based and airborne geophysical technique has been extended to orbital studies of bodies beyond Earth, with extensive cov- erage of the Moon (Porcello et al. 1974) and Mars (Picardi et al. 2004; Seu et al. 2007; Jordan et al. 2009). Multiple missio"
3,sounding,"studies of bodies beyond Earth, with extensive cov- erage of the Moon (Porcello et al. 1974) and Mars (Picardi et al. 2004; Seu et al. 2007; Jordan et al. 2009). Multiple mission concepts to study the icy Galilean moons of Jupiter have highlighted subsurface sounding of the ice as a necessary technique for accomplishing proposed science goals (Greely and Johnson 2004) or explicitly included ice-penetrating radar as part of the model payload (Ludwinski et al. 1998; Clark et al. 2009; Lewis et al. 2016). For Europa in parti"
3,sounding,"shing proposed science goals (Greely and Johnson 2004) or explicitly included ice-penetrating radar as part of the model payload (Ludwinski et al. 1998; Clark et al. 2009; Lewis et al. 2016). For Europa in particular, early feasibility studies supported radar sounding with an ice penetrating radar as capable of characterizing the three-dimensional distribution of sub- surface water, including the potential detection of a subsurface ocean (Chyba et al. 1998; Blankenship et al. 1999). Ultimately, these early mission concepts"
3,altimetry,"rer (JUICE) mission (Grasset 4REASON’s ranging measurement technique should not be confused with ranging as used by Gravity/Radio Science (see Mazarico et al. 2023, this collection). The term ranging was adopted to distinguish the measure- ment technique from altimetry. 5Permittivity is a complex quantity which describes the polarizability of a material (i.e., energy storage and dissipation in response to an applied electromagnetic ﬁeld) (Sihvola 1999)."
3,ranging,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page3of91 51 derive the total electron content (TEC) in the ionosphere) and radar ranging4 (to measure the differential range between the spacecraft and the surface through time at groundtrack crossover points) provide, respectively, a critical framework for understanding the boundary conditions for surface/near-surface exchange and the energetics"
3,ranging,"et al. 1999). Ultimately, these early mission concepts evolved into the National Aeronautics and Space Administration (NASA) Europa Clipper mission (Brown 2021)a n d the European Space Agency (ESA) JUpiter ICy moons Explorer (JUICE) mission (Grasset 4REASON’s ranging measurement technique should not be confused with ranging as used by Gravity/Radio Science (see Mazarico et al. 2023, this collection). The term ranging was adopted to distinguish the measure- ment technique from altimetry. 5Permittivity is a complex quantity"
3,ranging,"lved into the National Aeronautics and Space Administration (NASA) Europa Clipper mission (Brown 2021)a n d the European Space Agency (ESA) JUpiter ICy moons Explorer (JUICE) mission (Grasset 4REASON’s ranging measurement technique should not be confused with ranging as used by Gravity/Radio Science (see Mazarico et al. 2023, this collection). The term ranging was adopted to distinguish the measure- ment technique from altimetry. 5Permittivity is a complex quantity which describes the polarizability of a material (i.e., e"
3,ranging,"n 2021)a n d the European Space Agency (ESA) JUpiter ICy moons Explorer (JUICE) mission (Grasset 4REASON’s ranging measurement technique should not be confused with ranging as used by Gravity/Radio Science (see Mazarico et al. 2023, this collection). The term ranging was adopted to distinguish the measure- ment technique from altimetry. 5Permittivity is a complex quantity which describes the polarizability of a material (i.e., energy storage and dissipation in response to an applied electromagnetic ﬁeld) (Sihvola 1999)."
3,measurement,"999). Ultimately, these early mission concepts evolved into the National Aeronautics and Space Administration (NASA) Europa Clipper mission (Brown 2021)a n d the European Space Agency (ESA) JUpiter ICy moons Explorer (JUICE) mission (Grasset 4REASON’s ranging measurement technique should not be confused with ranging as used by Gravity/Radio Science (see Mazarico et al. 2023, this collection). The term ranging was adopted to distinguish the measure- ment technique from altimetry. 5Permittivity is a complex quantity which descr"
4,sounding,"oth of which include ice penetrating radars. The radar data collected in the Jovian system by REASON on Europa Clipper and by the Radar for Icy Moons Exploration (RIME) on JUICE (Bruzzone et al. 2013) will mark the ultimate extension of our capacity for radar sounding and assessment of ice from the inner to the outer Solar System. 1.3 Earth’sCryosphere Radar sounding and assessment of Earth’s cryosphere represents the foundation from which planetary radioglaciology has been and will continue to be built. As such, terrestri"
4,sounding,"on Europa Clipper and by the Radar for Icy Moons Exploration (RIME) on JUICE (Bruzzone et al. 2013) will mark the ultimate extension of our capacity for radar sounding and assessment of ice from the inner to the outer Solar System. 1.3 Earth’sCryosphere Radar sounding and assessment of Earth’s cryosphere represents the foundation from which planetary radioglaciology has been and will continue to be built. As such, terrestrial data sets, analysis techniques, and confounding factors represent critical historical context for"
4,sounding,"cryosphere represents the foundation from which planetary radioglaciology has been and will continue to be built. As such, terrestrial data sets, analysis techniques, and confounding factors represent critical historical context for interpreting future radar sounding data collected on other worlds. Radar surveys of the terrestrial cryosphere, both ﬂoating and grounded (Fig. 1), were originally pursued to generate maps of ice thickness and surface/basal topography (Bailey et al. 1964; Gudmandsen 1969) – an effort that cont"
4,sounding,"r scope from identiﬁcation to characterization of the bed (Schroeder et al.2020 and references therein), where bed characteristics are typically quantiﬁed using the power of the basal return (Peters et al.2005b; Christianson et al.2016; Chu et al.2021). Radar sounding data are often visualized using radargrams (Fig. 1), which display the power of the return as a function of travel time (fast time) on the vertical axis and along-track distance (slow time) on the horizontal axis. On Earth, radar altimetry proﬁles collected o"
4,sounding,"ir formation (e.g., Blankenship et al. 2001). For ﬂoating ice, the detection of liquid water can be conﬁrmed by comparing the projected ice thickness, derived from surface elevations measured by altime- try, to the measured ice thickness, obtained directly by sounding (Jenkins and Doake 1991; Fricker et al. 2001). An example of particular relevance to Europa are ﬂoating icebergs (Pe- ters et al. 2007b). As illustrated in Fig. 2, ﬂoating icebergs will protrude above the surface"
4,altimetry,"u et al.2021). Radar sounding data are often visualized using radargrams (Fig. 1), which display the power of the return as a function of travel time (fast time) on the vertical axis and along-track distance (slow time) on the horizontal axis. On Earth, radar altimetry proﬁles collected over ice have been an essential foundation for understanding the evolution of our glaciers, ice sheets, and ice shelves (Rémy and Parouty 2009; Fricker and Padman2012). These proﬁles, obtained by identifying the surface echo and the associat"
5,frequency,"quencies to simultaneously obtain surface roughness and bulk permittivity of the near-surface for both ﬂoating and grounded ice systems at multiple scales (Fig. 3) (Grima et al. 2014a,b, 2016, 2017, 2019). It has also been possible to combine these multi- ple frequency approaches with a careful assessment of frequency segments across the band"
5,frequency,"s and bulk permittivity of the near-surface for both ﬂoating and grounded ice systems at multiple scales (Fig. 3) (Grima et al. 2014a,b, 2016, 2017, 2019). It has also been possible to combine these multi- ple frequency approaches with a careful assessment of frequency segments across the band"
5,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page5of91 51 Fig.2 Radargram generated from ice-penetrating radar data collected over iceberg B15, Antarctica (MCM/SJB2/BERG04c; Blankenship, personal communication) Fig. 3 Near-surface properties of McMurdo Ice Shelf, Antarctica deriv"
6,sounding,"surface and basal crevassing, modiﬁed from Peters et al. (2007b) of a particular radar to constrain both the lateral and vertical heterogeneity of these bulk near-surface properties (Chan et al. 2023b). A great deal of the early airborne radar assessment and sounding of Earth’s cryosphere was focused on its ice shelves (Fig. 1) (Vaughan et al. 1995). It was hypothesized over a half century ago that instabilities in these ice shelves would be the primary trigger for rapid draining of the substantial interior grounded ice r"
6,sounding,"ice ﬁlled basal crevassing (Peters et al. 2007b). We anticipate that the arc of radar studies of the icy worlds of the outer planets will follow a similar pattern in the shallow subsurface, where brittle fracture might dominate. An offshoot of the early radar sounding of Earth’s ice shelves, perhaps even more rele- vant to icy ocean worlds, was the misinterpretation of the sub-ice ocean interface from radar sounding over Filchner-Ronne Ice Shelf (Robin et al. 1983; Crabtree and Doake 1986). When more precise ice surface al"
6,sounding,"lar pattern in the shallow subsurface, where brittle fracture might dominate. An offshoot of the early radar sounding of Earth’s ice shelves, perhaps even more rele- vant to icy ocean worlds, was the misinterpretation of the sub-ice ocean interface from radar sounding over Filchner-Ronne Ice Shelf (Robin et al. 1983; Crabtree and Doake 1986). When more precise ice surface altimetry became available, it was discovered that the “mea- sured” thickness from radar sounding could not be reconciled with the new measurements of su"
6,sounding,"nterpretation of the sub-ice ocean interface from radar sounding over Filchner-Ronne Ice Shelf (Robin et al. 1983; Crabtree and Doake 1986). When more precise ice surface altimetry became available, it was discovered that the “mea- sured” thickness from radar sounding could not be reconciled with the new measurements of surface elevation using Archimedes’ principle (Thyssen 1988). Subsequent drilling showed unequivocally that the basal feature that was interpreted as the ice–ocean interface was in- stead a boundary between"
6,sounding,"nterface was in- stead a boundary between the glacier-derived ﬂoating “meteoric ice” and saltier “marine ice” frozen from the ocean below (Engelhardt and Determann 1987; Oerter et al. 1992), as illustrated in Fig. 5. From that point on the radar altimetry and sounding observations were combined to establish and map the thickness of the underplated marine ice to test vari-"
6,altimetry,"ng of Earth’s ice shelves, perhaps even more rele- vant to icy ocean worlds, was the misinterpretation of the sub-ice ocean interface from radar sounding over Filchner-Ronne Ice Shelf (Robin et al. 1983; Crabtree and Doake 1986). When more precise ice surface altimetry became available, it was discovered that the “mea- sured” thickness from radar sounding could not be reconciled with the new measurements of surface elevation using Archimedes’ principle (Thyssen 1988). Subsequent drilling showed unequivocally that the basal"
6,altimetry,"he ice–ocean interface was in- stead a boundary between the glacier-derived ﬂoating “meteoric ice” and saltier “marine ice” frozen from the ocean below (Engelhardt and Determann 1987; Oerter et al. 1992), as illustrated in Fig. 5. From that point on the radar altimetry and sounding observations were combined to establish and map the thickness of the underplated marine ice to test vari-"
6,measurement,"rom radar sounding over Filchner-Ronne Ice Shelf (Robin et al. 1983; Crabtree and Doake 1986). When more precise ice surface altimetry became available, it was discovered that the “mea- sured” thickness from radar sounding could not be reconciled with the new measurements of surface elevation using Archimedes’ principle (Thyssen 1988). Subsequent drilling showed unequivocally that the basal feature that was interpreted as the ice–ocean interface was in- stead a boundary between the glacier-derived ﬂoating “meteoric ice” and s"
7,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page7of91 51 Fig.5 Radargram generated from ice-penetrating radar data collected over Filchner-Ronne Ice Shelf, Antarc- tica illustrating how a marine–meteoric ice interface could be mistaken as the ice–ocean interface, modiﬁed from Th"
7,sounding,"nterface, modiﬁed from Thyssen (1988) ous working hypotheses for the distribution of melting and freezing associated with sub-ice ocean circulation (Fricker et al. 2001; Joughin and Vaughan 2004; Lambrecht et al. 2007). For grounded ice sheets on Earth, radar sounding has also led to the discovery of a vast inventory of subglacial lakes in both the Arctic and Antarctic (Livingstone et al. 2022). Traditionally, this is accomplished by detecting regions that appear “brighter” than the sur- rounding terrain (Carter et al. 200"
7,altimetry,"t inventory of subglacial lakes in both the Arctic and Antarctic (Livingstone et al. 2022). Traditionally, this is accomplished by detecting regions that appear “brighter” than the sur- rounding terrain (Carter et al. 2007; Ilisei et al. 2019). Again, surface altimetry serves as an essential complementary data set to identify these subglacial lakes (Fig. 6). Ice thickness estimates coupled with surface elevation measurements enable hydrostatic analysis to de- termine whether ice over putative lakes is in hydrostatic equilib"
7,altimetry,"l. 2007; Ewert et al. 2012). Variations in ice surface topography through time can indicate drainage and recharge of active subglacial lakes (Wingham et al. 2006; Siegfried and Fricker 2021). Confounding interpretation, some subglacial lakes identiﬁed through altimetry do not ap- pear radar-bright (Carter et al. 2007; Humbert et al. 2018; Lindzey et al. 2020). Ultimately these anomalous subglacial lakes can only be unambiguously conﬁrmed through subglacial drilling (Talalay 2012; Tulaczyk et al. 2014;P r i s c ue ta l .2021"
7,measurement,"pear “brighter” than the sur- rounding terrain (Carter et al. 2007; Ilisei et al. 2019). Again, surface altimetry serves as an essential complementary data set to identify these subglacial lakes (Fig. 6). Ice thickness estimates coupled with surface elevation measurements enable hydrostatic analysis to de- termine whether ice over putative lakes is in hydrostatic equilibrium (Vaughan et al. 2007; Ewert et al. 2012). Variations in ice surface topography through time can indicate drainage and recharge of active subglacial lakes"
8,sounding,"51 Page8of91 D.D.Blankenshipetal. Fig.6 Altimetry proﬁle (top) and radargram (bottom) generated from ice-penetrating radar and laser altime- try data collected over Lake V ostok, Antarctica illustrating how complementary altimetry and radar sounding data can support the identiﬁcation of subglacial lakes, modiﬁed from Blankenship et al. (2009) been made in quantifying radar reﬂectivity and scattering in pursuit of understanding ex- change processes for the surface/near-surface and full depth/water interfa"
8,altimetry,"51 Page8of91 D.D.Blankenshipetal. Fig.6 Altimetry proﬁle (top) and radargram (bottom) generated from ice-penetrating radar and laser altime- try data collected over Lake V ostok, Antarctica illustrating how complementary altimetry and radar sounding data can support the identiﬁcation of subglacial lakes, mod"
8,altimetry,"51 Page8of91 D.D.Blankenshipetal. Fig.6 Altimetry proﬁle (top) and radargram (bottom) generated from ice-penetrating radar and laser altime- try data collected over Lake V ostok, Antarctica illustrating how complementary altimetry and radar sounding data can support the identiﬁcation of subglacial lakes, modiﬁed from Blankenship et al. (2009) been made in quantifying radar reﬂectivity and scattering in pursuit of understanding ex- change processes for the surface/near-surface and full"
9,bandwidth,"9.1.2). MARSIS was closely followed by the SHAllow RADar (SHARAD), a radar sounder ﬂown on NASA’s Mars Reconnaissance Orbiter (MRO) designed to detect shallow subsurface interfaces (Seu et al. 2004). SHARAD operates at a center frequency of 20 MHz and with a bandwidth of 10 MHz. Major scientiﬁc ﬁndings derived from the ﬁrst nine years of SHARAD are s u m m a r i z e di nC r o c ie ta l .(2011), including the discovery that many mid-latitude lobate features are ice-rich, debris-covered glaciers (Holt et al.2008). At the pol"
9,frequency,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page9of91 51 1.4 FromtheMoontoMarsandBack One of the earliest applications of radar sounding beyond Earth was the Apollo 17 Lunar Sounder Experiment (ALSE), a multi-frequency imaging radar (5, 15, 150 MHz or 60, 20, 2 m) with a subsurface sounding requirement (Porcello et al.1974). The longer wavelengths enabled deeper penetration into the lunar regolith, whereas the shorter wavelengths enabled higher quality surface images and pr"
9,frequency,"ubject of intense debate (Sect. 9.1.2). MARSIS was closely followed by the SHAllow RADar (SHARAD), a radar sounder ﬂown on NASA’s Mars Reconnaissance Orbiter (MRO) designed to detect shallow subsurface interfaces (Seu et al. 2004). SHARAD operates at a center frequency of 20 MHz and with a bandwidth of 10 MHz. Major scientiﬁc ﬁndings derived from the ﬁrst nine years of SHARAD are s u m m a r i z e di nC r o c ie ta l .(2011), including the discovery that many mid-latitude lobate features are ice-rich, debris-covered glacier"
9,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page9of91 51 1.4 FromtheMoontoMarsandBack One of the earliest applications of radar sounding beyond Earth was the Apollo 17 Lunar Sounder Experiment (ALSE), a multi-frequency imaging radar (5, 15, 150 MHz or 60, 20, 2 m) with a subsurf"
9,sounding,"RadarforEuropaAssessmentandSounding: OceantoNear-Surface... Page9of91 51 1.4 FromtheMoontoMarsandBack One of the earliest applications of radar sounding beyond Earth was the Apollo 17 Lunar Sounder Experiment (ALSE), a multi-frequency imaging radar (5, 15, 150 MHz or 60, 20, 2 m) with a subsurface sounding requirement (Porcello et al.1974). The longer wavelengths enabled deeper penetration into the lunar rego"
9,sounding,"eantoNear-Surface... Page9of91 51 1.4 FromtheMoontoMarsandBack One of the earliest applications of radar sounding beyond Earth was the Apollo 17 Lunar Sounder Experiment (ALSE), a multi-frequency imaging radar (5, 15, 150 MHz or 60, 20, 2 m) with a subsurface sounding requirement (Porcello et al.1974). The longer wavelengths enabled deeper penetration into the lunar regolith, whereas the shorter wavelengths enabled higher quality surface images and proﬁles. The primary science objective was the detection of subsurface disc"
9,sounding,"(Porcello et al.1974). The longer wavelengths enabled deeper penetration into the lunar regolith, whereas the shorter wavelengths enabled higher quality surface images and proﬁles. The primary science objective was the detection of subsurface discontinuities (sounding) and three secondary science objectives were sur- face imaging, surface proﬁling, and radio astronomy (i.e., measurement of galactic noise) (Phillips et al. 1973; Porcello et al. 1974). Using the 5 MHz band, the ALSE produced el- evation proﬁles of the Moon ("
9,sounding,"two reﬂectors beneath Mare Serenitatis at depths of 0.9 km and 1.6 km and one reﬂector beneath Mare Crisium at a depth of 1.4 km (Peeples et al. 1978). After almost forty years, the ALSE was followed by the Mars Advanced Radar for Sub- surface and Ionospheric Sounding (MARSIS) instrument ﬂown on ESA’s Mars Express mis- sion (Picardi et al. 2004; Jordan et al. 2009). MARSIS is a dual-channel radar sounder oper- ating between frequencies of 1.3 and 5.5 MHz for subsurface sounding and 0.1 and 5.5 MHz for ionospheric sounding."
9,sounding,"vanced Radar for Sub- surface and Ionospheric Sounding (MARSIS) instrument ﬂown on ESA’s Mars Express mis- sion (Picardi et al. 2004; Jordan et al. 2009). MARSIS is a dual-channel radar sounder oper- ating between frequencies of 1.3 and 5.5 MHz for subsurface sounding and 0.1 and 5.5 MHz for ionospheric sounding. The primary science objectives were to map the subsurface distri- bution of water ice and liquid water, probe subsurface geology, characterize the surface, and sound the ionosphere. The principal results of the ﬁr"
9,sounding,"Sounding (MARSIS) instrument ﬂown on ESA’s Mars Express mis- sion (Picardi et al. 2004; Jordan et al. 2009). MARSIS is a dual-channel radar sounder oper- ating between frequencies of 1.3 and 5.5 MHz for subsurface sounding and 0.1 and 5.5 MHz for ionospheric sounding. The primary science objectives were to map the subsurface distri- bution of water ice and liquid water, probe subsurface geology, characterize the surface, and sound the ionosphere. The principal results of the ﬁrst decade of observation by MARSIS are summar"
9,sounding,"ped beneath a surface lag and capable of doubling the current atmospheric pressure if released (Phillips et al. 2011). Following MARSIS and SHARAD, Mars became the most globally well-characterized body by ground-penetrating radar, and the target for new radar sounding data transitioned back to the Moon. The goals of the Lunar Radar Sounder (LRS) ﬂown on JAXA’s SELeno- logical and ENgineering Explorer (SELENE) were to map the subsurface structure of the Moon to 5 km depth with a vertical resolution of 100 m by operating bet"
